"participant_virtual_id","time","activity"
"9999921","2019-10-23 08:32:02+00","Bureau"
"9999921","2019-10-23 08:43:19+00","Voiture"
"9999921","2019-10-23 09:27:30+00","Rue"
"9999921","2019-10-23 09:29:22+00","Domicile"
"9999921","2019-10-24 06:01:57+00","Rue"
"9999921","2019-10-24 06:02:02+00","Vélo"
"9999921","2019-10-24 06:48:08+00","Bureau"
"9999921","2019-10-24 17:00:43+00","Vélo"
"9999921","2019-10-24 17:36:31+00","Domicile"
"9999921","2019-10-25 06:39:33+00","Vélo"
"9999921","2019-10-25 07:25:46+00","Bureau"
"9999921","2019-10-25 15:45:28+00","Vélo"
"9999921","2019-10-25 16:21:51+00","Domicile"
"9999921","2019-10-26 09:46:45+00","Rue"
"9999921","2019-10-26 09:46:47+00","Voiture"
"9999921","2019-10-26 10:33:12+00","Domicile"
"9999921","2019-10-28 06:07:03+00","Voiture"
