activity;event
Domicile;Ouverture De Fenêtre
Domicile;Cuisiner
Domicile;Sport
Domicile;Fermeture De Fenêtre
Domicile;Fumer
Domicile;Arrêter De Cuisiner
Domicile;Allumage De Cheminée
Domicile;Repos
Domicile;NULL
Bureau;Repos
Bureau;Fermeture De Fenêtre
Bureau;Ouverture De Fenêtre
Bureau;NULL
Bureau;Fumer
Magasin;Repos
Magasin;Marcher
Magasin;NULL
Restaurant;Cuisiner
Restaurant;NULL
Restaurant;Repos
Restaurant;Fermeture De Fenêtre
Restaurant;Ouverture De Fenêtre
Cinéma;Repos
Cinéma;NULL
Gare;NULL
Gare;Repos
Gare;Marcher
Rue;Repos
Rue;NULL
Rue;Marcher
Rue;promenade avec chien
Rue;Fumer
Rue;course à pied
Rue;Sport
Parc;Marcher
Parc;Repos
Parc;Sport
Parc;NULL
Parc;course à pied
Parc;promenade avec chien
Montagne;NULL
Montagne;Marcher
Montagne;promenade avec chien
Montagne;Fumer
Montagne;course à pied
Montagne;Sport
Montagne;Repos
Plage;NULL
Plage;Marcher
Plage;promenade avec chien
Plage;Repos
Plage;course à pied
Plage;Sport
Inconnu;NULL
Inconnu;Marcher
Inconnu;promenade avec chien
Inconnu;Repos
Inconnu;course à pied
Inconnu;Fumer
Inconnu;Cuisiner
Inconnu;Arrêter De Cuisiner
Inconnu;Sport
Inconnu;Fermeture De Fenêtre
Inconnu;Ouverture De Fenêtre
Voiture;Fermeture De Fenêtre
Voiture;Ouverture De Fenêtre
Voiture;Fumer
Voiture;Repos
Voiture;NULL
Métro;Repos
Métro;Marcher
Métro;NULL
Bus;Repos
Bus;NULL
Moto;NULL
Vélo;NULL
Tramway;Repos
Tramway;NULL
Train;Repos
Train;Marcher
Train;NULL
