"participant_virtual_id","time","PM2.5","PM10","PM1.0","Temperature","Humidite","NO2","BC","activity","event"
"9999941","2019-10-19 09:52:00+00","0","0","0","19.9","53.8","9","124",NULL,NULL
"9999941","2019-10-19 09:53:00+00","0","1","0","19.7","53.5","10","206",NULL,NULL
"9999941","2019-10-19 11:02:00+00","4","4","3","21","63.7","18","1084",NULL,NULL
"9999941","2019-10-19 11:03:00+00","4","4","2","20.8","60.8","0","526",NULL,NULL
"9999941","2019-10-19 11:04:00+00","4","5","2",NULL,NULL,"1","419",NULL,NULL
"9999941","2019-10-19 11:05:00+00","4","4","2","20.9","59.5","2","512",NULL,NULL
"9999941","2019-10-19 11:06:00+00","5","6","3","21","59.6","7","556",NULL,NULL
"9999941","2019-10-19 11:07:00+00","4","4","2","21.1","59.4","5","581",NULL,NULL
"9999941","2019-10-19 11:08:00+00","4","5","3","21.2","59.6","15","1101",NULL,NULL
"9999941","2019-10-19 11:09:00+00","4","5","2","21.3","59.4","3","533",NULL,NULL
"9999941","2019-10-19 11:10:00+00","4","4","2","21.4","59.1","2","498",NULL,NULL
"9999941","2019-10-19 11:11:00+00","4","4","3","21.5","58.5","1","538",NULL,NULL
"9999941","2019-10-19 11:12:00+00","4","4","2","21.7","58.3","4","510",NULL,NULL
"9999941","2019-10-19 11:13:00+00","3","4","1","21.9","58.1","4","509",NULL,NULL
"9999941","2019-10-19 11:14:00+00","3","3","1","22","57.7","4","559",NULL,NULL
"9999941","2019-10-19 11:15:00+00","3","3","1","22.1","57.7","3","557",NULL,NULL
"9999941","2019-10-19 11:16:00+00","3","4","2","22.3","57.5","2","585",NULL,NULL
"9999941","2019-10-19 11:17:00+00","3","3","1",NULL,NULL,"2","538",NULL,NULL
"9999941","2019-10-19 11:18:00+00","3","4","2","22.5","56.7","4","593",NULL,NULL
"9999941","2019-10-19 11:19:00+00","4","4","1","22.7","56.5","3","591",NULL,NULL
"9999941","2019-10-19 11:20:00+00","4","6","2","22.8","56.3","3","587",NULL,NULL
"9999941","2019-10-19 11:21:00+00","4","4","2","22.9","56.1","3","560",NULL,NULL
"9999941","2019-10-19 11:22:00+00","4","4","2","23.1","55.9","4","559",NULL,NULL
"9999941","2019-10-19 11:23:00+00","3","4","2","23.2","55.6","2","564",NULL,NULL
"9999941","2019-10-19 11:24:00+00","2","3","1","23.3","55.4","4","598",NULL,NULL
"9999941","2019-10-19 11:25:00+00","2","3","1","23.4","55.2","2","589",NULL,NULL
"9999941","2019-10-19 11:26:00+00","2","2","1","23.5","54.9","2","556",NULL,NULL
"9999941","2019-10-19 11:27:00+00","3","3","1","23.6","54.7","2","557",NULL,NULL
"9999941","2019-10-19 11:28:00+00","3","4","2","23.7","54.4","2","613",NULL,NULL
"9999941","2019-10-19 11:29:00+00","2","3","1","23.8","54.1","2","589",NULL,NULL
"9999941","2019-10-19 11:30:00+00","3","3","1","23.9","53.9","4","563",NULL,NULL
"9999941","2019-10-19 11:31:00+00","2","2","1","24.1","53.7","3","578",NULL,NULL
"9999941","2019-10-19 11:32:00+00","3","3","1","24.1","53.5","2","547",NULL,NULL
"9999941","2019-10-19 11:33:00+00","3","3","1","24.2","53.2","2","543",NULL,NULL
"9999941","2019-10-19 11:34:00+00","2","3","1","24.3","53","2","562",NULL,NULL
"9999941","2019-10-19 11:35:00+00","3","4","1","24.4","52.7","1","543",NULL,NULL
"9999941","2019-10-19 11:36:00+00","3","3","1","24.5","52.5","2","507",NULL,NULL
"9999941","2019-10-19 11:37:00+00","4","5","1","24.6","52.4","2","510",NULL,NULL
"9999941","2019-10-19 11:38:00+00","3","3","1","24.6","52.1","0","532",NULL,NULL
"9999941","2019-10-19 11:39:00+00","2","2","1","24.7","51.9","2","532",NULL,NULL
"9999941","2019-10-19 11:40:00+00","1","2","1","24.8","51.8","2","550",NULL,NULL
"9999941","2019-10-19 11:41:00+00","3","3","2","24.9","51.7","1","526",NULL,NULL
"9999941","2019-10-19 11:42:00+00","2","3","1","25","51.6","2","563",NULL,NULL
"9999941","2019-10-19 11:43:00+00","2","3","1","25","51.5","2","574",NULL,NULL
"9999941","2019-10-19 11:44:00+00","3","3","1","25.1","51.5","3","577",NULL,NULL
"9999941","2019-10-19 11:45:00+00","1","2","1","25.1","51.3","3","602",NULL,NULL
"9999941","2019-10-19 11:46:00+00","2","2","1","25.2","51.3","1","532",NULL,NULL
"9999941","2019-10-19 11:47:00+00","2","2","1","25.3","51.2","1","606",NULL,NULL
"9999941","2019-10-19 11:48:00+00","3","4","1","25.4","51","1","507",NULL,NULL
"9999941","2019-10-19 11:49:00+00","1","1","1","25.4","51","2","565",NULL,NULL
"9999941","2019-10-19 11:50:00+00","2","2","1","25.5","51.1","2","517",NULL,NULL
"9999941","2019-10-19 11:51:00+00","2","3","1","25.5","50.7","1","526",NULL,NULL
