"participant_virtual_id","time","PM2.5","PM10","PM1.0","Température","Humidité","NO2","BC","activity","event"
"9999944","2019-10-19 09:10:00+00","0","0","0","20.5","47.6",NULL,NULL,NULL,NULL
"9999944","2019-10-19 09:11:00+00","0","0","0","20.4","53.7",NULL,"333056",NULL,NULL
"9999944","2019-10-19 09:12:00+00","0","1","0","20.4","48.7","201","1388",NULL,NULL
"9999944","2019-10-19 09:13:00+00","0","0","0","20.5","48.3","15","182",NULL,NULL
"9999944","2019-10-19 09:14:00+00","0","0","0","20.6","47.9","11","112",NULL,NULL
"9999944","2019-10-19 09:15:00+00","0","0","0","20.6","51.3","45","387",NULL,NULL
"9999944","2019-10-19 09:16:00+00","0","1","0","20.6","47.4","31","573",NULL,NULL
"9999944","2019-10-19 09:17:00+00","0","0","0","20.4","47","0","229",NULL,NULL
"9999944","2019-10-19 09:18:00+00","0","0","0","20.1","47.3","9","286",NULL,NULL
"9999944","2019-10-19 09:19:00+00","0","0","0","19.7","47.2","5","3",NULL,NULL
"9999944","2019-10-19 09:20:00+00","2","2","1","19.2","48.5","19","1370","Rue",NULL
"9999944","2019-10-19 09:21:00+00","19","23","12","18.9","49.1","21","820","Rue",NULL
"9999944","2019-10-19 09:22:00+00","1","2","0","18.5","49.9","35","1281","Rue",NULL
"9999944","2019-10-19 09:23:00+00","3","4","1","18.4","48.5","25","602","Rue",NULL
"9999944","2019-10-19 09:24:00+00","1","1","0","18.2","48.2","3","905","Rue",NULL
"9999944","2019-10-19 09:25:00+00","0","0","0","18.1","52.6","45","673","Magasin",NULL
"9999944","2019-10-19 09:25:00+00","0","0","0","18.1","52.6","45","673","Rue",NULL
"9999944","2019-10-19 09:26:00+00","0","1","0","17.9","52.7","30","475","Magasin",NULL
"9999944","2019-10-19 09:27:00+00","0","0","0","17.6","53.1","20","581","Magasin",NULL
"9999944","2019-10-19 09:28:00+00","1","1","0","17.7","57.3","42","932","Magasin",NULL
"9999944","2019-10-19 09:28:00+00","1","1","0","17.7","57.3","42","932","Rue",NULL
"9999944","2019-10-19 09:29:00+00","0","0","0","17.7","56.8","28","665","Rue",NULL
"9999944","2019-10-19 09:30:00+00","0","1","0","17.9","57.2","16","548","Rue",NULL
"9999944","2019-10-19 09:31:00+00","1","1","0","18","57.6","19","507","Rue",NULL
"9999944","2019-10-19 09:32:00+00","0","1","0","18.2","57.6","13","351","Rue",NULL
"9999944","2019-10-19 09:33:00+00","0","0","0","18.1","52.3","3","-511","Rue",NULL
"9999944","2019-10-19 09:34:00+00","0","0","0","17.9","53.1","2","139","Rue",NULL
"9999944","2019-10-19 09:35:00+00","0","1","0","17.8","52.8","7","565","Rue",NULL
"9999944","2019-10-19 09:36:00+00","0","1","0","17.5","53.8","12","489","Rue",NULL
"9999944","2019-10-19 09:37:00+00","0","0","0","17.5","54.5","17","309","Rue",NULL
"9999944","2019-10-19 09:38:00+00","0","0","0","17.4","53.6","13","240","Rue",NULL
"9999944","2019-10-19 09:39:00+00","1","1","0","17.2","54.4","16","331","Rue",NULL
"9999944","2019-10-19 09:40:00+00","0","0","0","17.2","54.4","15","877","Rue",NULL
"9999944","2019-10-19 09:41:00+00","0","0","0","17.2","54.2","14","355","Rue",NULL
"9999944","2019-10-19 09:42:00+00","0","0","0","17.2","54.8","14","353","Rue",NULL
"9999944","2019-10-19 09:43:00+00","0","0","0","17","54.1","9","278","Rue",NULL
"9999944","2019-10-19 09:44:00+00","0","0","0","17","53.8","15","299","Rue",NULL
"9999944","2019-10-19 09:45:00+00","0","0","0","17","55.7","20","386","Rue",NULL
