"participant_virtual_id","time","event"
"9999916","2019-10-19 09:23:30+00","Marcher"
"9999916","2019-10-19 09:37:00+00","Marcher"
"9999916","2019-10-19 10:02:02+00","Marcher"
"9999916","2019-10-19 21:59:32+00","Ouverture De Fenêtre"
"9999916","2019-10-19 22:13:11+00","Fermeture De Fenêtre"
"9999916","2019-10-19 22:46:52+00","Repos"
"9999916","2019-10-20 08:01:31+00","Ouverture De Fenêtre"
"9999916","2019-10-20 08:19:35+00","Fermeture De Fenêtre"
"9999916","2019-10-20 19:11:57+00","Cuisiner"
"9999916","2019-10-20 19:30:44+00","Arrêter De Cuisiner"
"9999916","2019-10-20 21:18:20+00","Ouverture De Fenêtre"
"9999916","2019-10-20 21:31:44+00","Fermeture De Fenêtre"
"9999916","2019-10-21 05:43:30+00","Ouverture De Fenêtre"
"9999916","2019-10-21 06:14:16+00","Fermeture De Fenêtre"
"9999916","2019-10-21 16:21:22+00","Marcher"
"9999916","2019-10-21 16:33:15+00","Repos"
"9999916","2019-10-21 17:10:51+00","Ouverture De Fenêtre"
"9999916","2019-10-21 17:44:08+00","Fermeture De Fenêtre"
"9999916","2019-10-21 17:49:58+00","Sport"
"9999916","2019-10-21 19:39:41+00","Repos"
"9999916","2019-10-21 21:13:02+00","Repos"
"9999916","2019-10-22 05:27:59+00","Ouverture De Fenêtre"
"9999916","2019-10-22 06:27:05+00","Fermeture De Fenêtre"
"9999916","2019-10-22 07:01:36+00","Ouverture De Fenêtre"
"9999916","2019-10-22 07:02:38+00","Fermeture De Fenêtre"
"9999916","2019-10-22 07:21:21+00","Repos"
"9999916","2019-10-23 05:23:58+00","Ouverture De Fenêtre"
"9999916","2019-10-23 06:07:58+00","Fermeture De Fenêtre"
"9999916","2019-10-23 17:02:16+00","Ouverture De Fenêtre"
"9999916","2019-10-23 17:22:04+00","Fermeture De Fenêtre"
"9999916","2019-10-24 05:33:24+00","Ouverture De Fenêtre"
"9999916","2019-10-24 06:15:02+00","Fermeture De Fenêtre"
"9999916","2019-10-24 20:46:45+00","Ouverture De Fenêtre"
"9999916","2019-10-25 17:36:06+00","Ouverture De Fenêtre"
"9999916","2019-10-25 18:02:28+00","Fermeture De Fenêtre"
"9999916","2019-10-26 07:01:31+00","Ouverture De Fenêtre"
"9999916","2019-10-26 07:43:03+00","Fermeture De Fenêtre"
