"participant_virtual_id","time","activity"
"9999946","2019-10-19 10:19:20+00","Domicile"
"9999946","2019-10-19 13:25:07+00","Rue"
"9999946","2019-10-19 13:30:51+00","Domicile"
"9999946","2019-10-20 12:27:03+00","Rue"
"9999946","2019-10-20 12:43:34+00","Train"
"9999946","2019-10-20 12:55:09+00","Rue"
"9999946","2019-10-20 13:10:12+00","Magasin"
"9999946","2019-10-20 13:35:16+00","Rue"
"9999946","2019-10-20 13:45:17+00","Cinéma"
"9999946","2019-10-20 15:45:09+00","Rue"
"9999946","2019-10-20 15:50:51+00","Bus"
"9999946","2019-10-20 16:05:15+00","Magasin"
"9999946","2019-10-20 16:11:21+00","Rue"
"9999946","2019-10-20 16:15:03+00","Domicile"
"9999946","2019-10-21 05:25:10+00","Rue"
"9999946","2019-10-21 05:35:23+00","Métro"
"9999946","2019-10-21 05:52:35+00","Train"
"9999946","2019-10-21 06:28:07+00","Rue"
"9999946","2019-10-21 06:30:02+00","Bus"
"9999946","2019-10-21 06:35:07+00","Rue"
"9999946","2019-10-21 06:36:10+00","Bureau"
"9999946","2019-10-21 10:50:15+00","Rue"
"9999946","2019-10-21 10:51:20+00","Voiture"
"9999946","2019-10-21 10:54:25+00","Rue"
"9999946","2019-10-21 10:55:28+00","Restaurant"
"9999946","2019-10-21 11:25:31+00","Rue"
"9999946","2019-10-21 11:27:34+00","Voiture"
"9999946","2019-10-21 11:34:36+00","Rue"
"9999946","2019-10-21 11:36:42+00","Bureau"
"9999946","2019-10-21 16:12:44+00","Rue"
"9999946","2019-10-21 16:14:04+00","Bus"
"9999946","2019-10-21 16:20:52+00","Rue"
"9999946","2019-10-21 16:24:56+00","Train"
"9999946","2019-10-21 16:47:00+00","Rue"
"9999946","2019-10-21 16:53:03+00","Magasin"
"9999946","2019-10-21 17:00:05+00","Rue"
"9999946","2019-10-21 17:12:34+00","Domicile"
"9999946","2019-10-22 05:50:15+00","Rue"
"9999946","2019-10-22 06:15:22+00","Train"
"9999946","2019-10-22 06:29:25+00","Rue"
"9999946","2019-10-22 06:30:28+00","Bus"
"9999946","2019-10-22 06:35:33+00","Rue"
"9999946","2019-10-22 06:37:36+00","Bureau"
"9999946","2019-10-22 10:40:28+00","Rue"
"9999946","2019-10-22 10:42:31+00","Voiture"
"9999946","2019-10-22 10:47:35+00","Rue"
"9999946","2019-10-22 10:50:38+00","Restaurant"
"9999946","2019-10-22 11:25:40+00","Rue"
"9999946","2019-10-22 11:26:42+00","Voiture"
"9999946","2019-10-22 11:30:04+00","Rue"
"9999946","2019-10-22 11:31:07+00","Bureau"
"9999946","2019-10-22 11:36:10+00","Rue"
"9999946","2019-10-22 11:37:12+00","Voiture"
"9999946","2019-10-22 11:51:14+00","Rue"
"9999946","2019-10-22 11:52:16+00","Bureau"
"9999946","2019-10-22 16:14:20+00","Bus"
"9999946","2019-10-22 16:21:00+00","Rue"
"9999946","2019-10-22 16:26:04+00","Train"
"9999946","2019-10-22 17:11:41+00","Rue"
"9999946","2019-10-22 17:15:43+00","Magasin"
"9999946","2019-10-22 17:19:45+00","Rue"
"9999946","2019-10-22 17:29:47+00","Domicile"
"9999946","2019-10-23 05:55:42+00","Rue"
"9999946","2019-10-23 06:12:22+00","Train"
"9999946","2019-10-23 06:30:25+00","Rue"
"9999946","2019-10-23 06:32:27+00","Bus"
"9999946","2019-10-23 06:37:30+00","Rue"
"9999946","2019-10-23 06:38:33+00","Bureau"
"9999946","2019-10-23 10:40:32+00","Rue"
"9999946","2019-10-23 10:41:37+00","Voiture"
"9999946","2019-10-23 10:45:39+00","Rue"
"9999946","2019-10-23 10:46:42+00","Restaurant"
"9999946","2019-10-23 11:26:44+00","Rue"
"9999946","2019-10-23 11:27:46+00","Voiture"
"9999946","2019-10-23 11:31:47+00","Rue"
"9999946","2019-10-23 11:32:50+00","Bureau"
"9999946","2019-10-23 16:13:03+00","Rue"
"9999946","2019-10-23 16:14:06+00","Bus"
"9999946","2019-10-23 16:20:08+00","Rue"
"9999946","2019-10-23 16:26:13+00","Train"
"9999946","2019-10-23 16:46:17+00","Rue"
"9999946","2019-10-23 16:59:21+00","Restaurant"
"9999946","2019-10-23 17:37:23+00","Rue"
"9999946","2019-10-23 17:50:25+00","Domicile"
"9999946","2019-10-24 05:55:05+00","Rue"
"9999946","2019-10-24 06:12:52+00","Train"
"9999946","2019-10-24 06:25:55+00","Rue"
"9999946","2019-10-24 06:28:57+00","Bus"
"9999946","2019-10-24 06:34:59+00","Rue"
"9999946","2019-10-24 06:36:01+00","Bureau"
"9999946","2019-10-24 10:40:52+00","Rue"
"9999946","2019-10-24 10:41:57+00","Voiture"
"9999946","2019-10-24 10:45:39+00","Rue"
"9999946","2019-10-24 10:46:32+00","Restaurant"
"9999946","2019-10-24 11:23:05+00","Rue"
"9999946","2019-10-24 11:24:06+00","Voiture"
"9999946","2019-10-24 11:28:08+00","Rue"
"9999946","2019-10-24 11:29:10+00","Bureau"
"9999946","2019-10-24 15:56:33+00","Rue"
"9999946","2019-10-24 15:59:37+00","Magasin"
"9999946","2019-10-24 16:12:39+00","Rue"
"9999946","2019-10-24 16:14:42+00","Bus"
"9999946","2019-10-24 16:19:44+00","Rue"
"9999946","2019-10-24 16:25:48+00","Train"
"9999946","2019-10-24 16:46:22+00","Rue"
"9999946","2019-10-24 16:50:24+00","Magasin"
"9999946","2019-10-24 16:54:26+00","Rue"
"9999946","2019-10-24 17:05:28+00","Domicile"
"9999946","2019-10-25 05:56:17+00","Rue"
"9999946","2019-10-25 06:12:22+00","Train"
"9999946","2019-10-25 06:28:26+00","Rue"
"9999946","2019-10-25 06:30:29+00","Bus"
"9999946","2019-10-25 06:36:31+00","Rue"
"9999946","2019-10-25 06:37:34+00","Bureau"
"9999946","2019-10-25 10:10:03+00","Rue"
"9999946","2019-10-25 10:12:06+00","Voiture"
"9999946","2019-10-25 10:18:08+00","Rue"
"9999946","2019-10-25 10:20:10+00","Restaurant"
"9999946","2019-10-25 12:10:12+00","Rue"
"9999946","2019-10-25 12:12:14+00","Voiture"
"9999946","2019-10-25 12:18:15+00","Rue"
"9999946","2019-10-25 12:19:19+00","Bureau"
"9999946","2019-10-25 15:23:40+00","Rue"
"9999946","2019-10-25 15:24:48+00","Bus"
"9999946","2019-10-25 15:33:49+00","Rue"
"9999946","2019-10-25 15:35:51+00","Train"
"9999946","2019-10-25 16:08:54+00","Rue"
"9999946","2019-10-25 16:18:57+00","Bus"
"9999946","2019-10-25 16:30:00+00","Rue"
"9999946","2019-10-25 16:33:03+00","Magasin"
"9999946","2019-10-25 16:36:05+00","Rue"
"9999946","2019-10-25 16:40:07+00","Domicile"
"9999946","2019-10-25 16:46:11+00","Rue"
"9999946","2019-10-25 17:00:34+00","Inconnu"
"9999946","2019-10-25 18:00:51+00","Rue"
"9999946","2019-10-25 18:15:54+00","Domicile"
"9999946","2019-10-26 05:50:42+00","Rue"
"9999946","2019-10-26 05:54:46+00","Métro"
"9999946","2019-10-26 06:12:50+00","Train"
"9999946","2019-10-26 07:00:52+00","Rue"
"9999946","2019-10-26 07:16:01+00","Magasin"
"9999946","2019-10-26 08:55:12+00","Rue"
"9999946","2019-10-26 09:03:16+00","Train"
