"participant_virtual_id","time","PM2.5","PM10","PM1.0","Température","Humidité","NO2","BC","activity","event"
"9999915","2019-10-19 10:24:00+00","39","39","33","21.1","70.6","0","1603","Domicile","Cuisiner"
"9999915","2019-10-19 10:25:00+00","39","39","33","21.3","69.4","0","1816","Domicile","Cuisiner"
"9999915","2019-10-19 10:26:00+00","37","39","33","21.4","68.9","0","1645","Domicile","Cuisiner"
"9999915","2019-10-19 11:21:00+00","47","50","33","26","51.9","0","772","Domicile","Ouverture De Fenêtre"
"9999915","2019-10-19 11:22:00+00","34","38","24","26.1","51.8","0","500","Domicile","Ouverture De Fenêtre"
"9999915","2019-10-19 11:23:00+00","24","27","19","26.1","51.6","0","762","Domicile","Ouverture De Fenêtre"
"9999915","2019-10-19 11:24:00+00","22","22","18","26.1","51.9","6","770","Domicile","Ouverture De Fenêtre"
"9999915","2019-10-19 11:25:00+00","25","27","19","26.3","51.8","0","389","Domicile","Ouverture De Fenêtre"
"9999915","2019-10-19 11:26:00+00","21","23","18","26.3","51.7","0","828","Domicile","Ouverture De Fenêtre"
"9999915","2019-10-19 11:27:00+00","18","19","14","26.4","51.1","1","570","Domicile","Ouverture De Fenêtre"
"9999915","2019-10-19 11:28:00+00","20","23","17","26.5","50.5","0","853","Domicile","Ouverture De Fenêtre"
"9999915","2019-10-19 11:29:00+00","18","20","15","26.6","50.6","2","706","Domicile","Ouverture De Fenêtre"
"9999915","2019-10-19 11:30:00+00","18","19","15","26.5","50.5","1","607","Domicile","Ouverture De Fenêtre"
"9999915","2019-10-19 11:31:00+00","20","23","15","26.7","50.4","0","688","Domicile","Ouverture De Fenêtre"
"9999915","2019-10-19 11:32:00+00","19","21","15","26.7","50.1","1","651","Domicile","Ouverture De Fenêtre"
"9999915","2019-10-19 11:33:00+00","20","21","17","26.8","50.3","1","520","Domicile","Ouverture De Fenêtre"
"9999915","2019-10-19 11:34:00+00","20","20","15","26.9","50.2","1","666","Domicile","Ouverture De Fenêtre"
"9999915","2019-10-19 11:35:00+00","21","21","15","26.9","50.1","0","450","Domicile","Ouverture De Fenêtre"
"9999915","2019-10-19 11:36:00+00","19","20","14","27.1","50","0","920","Domicile","Ouverture De Fenêtre"
"9999915","2019-10-19 11:37:00+00","17","18","13","26.9","49.6","1","480","Domicile","Ouverture De Fenêtre"
"9999915","2019-10-19 11:38:00+00","19","20","14","27","49.6","1","590","Domicile","Ouverture De Fenêtre"
"9999915","2019-10-19 11:39:00+00","18","22","13","27.1","49.7","2","564","Domicile","Ouverture De Fenêtre"
"9999915","2019-10-19 11:40:00+00","18","19","12","27.1","49.2","1","660","Domicile","Ouverture De Fenêtre"
"9999915","2019-10-19 11:41:00+00","16","16","12","27.2","49.6","0","426","Domicile","Ouverture De Fenêtre"
"9999915","2019-10-19 11:42:00+00","18","19","14","27.2","49.6","2","364","Domicile","Ouverture De Fenêtre"
"9999915","2019-10-19 11:43:00+00","17","19","13","27.3","49.4","1","675","Domicile","Ouverture De Fenêtre"
"9999915","2019-10-19 11:44:00+00","17","18","13","27.3","49.4","0","471","Domicile","Ouverture De Fenêtre"
"9999915","2019-10-19 11:45:00+00","15","17","12","27.3","49.2","0","542","Domicile","Ouverture De Fenêtre"
"9999915","2019-10-19 11:46:00+00","13","14","10","27.3","48.9","0","506","Domicile","Ouverture De Fenêtre"
"9999915","2019-10-19 11:47:00+00","14","17","11","27.4","48.7","1","408","Domicile","Ouverture De Fenêtre"
"9999915","2019-10-19 11:48:00+00","14","15","10","27.4","48.7","0","602","Domicile","Ouverture De Fenêtre"
"9999915","2019-10-19 11:49:00+00","15","16","11","27.5","48.8","0","437","Domicile","Ouverture De Fenêtre"
"9999915","2019-10-19 11:50:00+00","14","15","10","27.5","48.8","0","342","Domicile","Ouverture De Fenêtre"
"9999915","2019-10-19 11:51:00+00","13","14","9","27.5","48.6","1","731","Domicile","Ouverture De Fenêtre"
"9999915","2019-10-19 11:52:00+00","12","12","9","27.6","48.7","1","342","Domicile","Ouverture De Fenêtre"
"9999915","2019-10-19 11:53:00+00","12","13","9","27.6","48.4","0","538","Domicile","Ouverture De Fenêtre"
"9999915","2019-10-19 11:54:00+00","13","13","9","27.6","48.4","1","369","Domicile","Ouverture De Fenêtre"
"9999915","2019-10-19 11:55:00+00","12","14","9","27.7","48.3","1","596","Domicile","Ouverture De Fenêtre"
"9999915","2019-10-19 11:56:00+00","10","10","7","27.8","47.8","1","392","Domicile","Ouverture De Fenêtre"
"9999915","2019-10-19 11:57:00+00","12","12","9","27.8","47.3","0","410","Domicile","Ouverture De Fenêtre"
"9999915","2019-10-19 11:58:00+00","11","12","9","27.8","47.3","5","351","Domicile","Ouverture De Fenêtre"
"9999915","2019-10-19 11:59:00+00","11","11","8","27.8","47.5","1","466","Domicile","Ouverture De Fenêtre"
"9999915","2019-10-19 12:01:00+00","10","10","8","28","46.5","4","396","Domicile","Ouverture De Fenêtre"
"9999915","2019-10-19 12:02:00+00","11","12","8","27.9","47.4","1","575","Domicile","Ouverture De Fenêtre"
"9999915","2019-10-19 12:03:00+00","10","10","8","27.9","47.2","1","210","Domicile","Ouverture De Fenêtre"
"9999915","2019-10-19 12:04:00+00","12","13","8","27.9","47.3","2","569","Domicile","Ouverture De Fenêtre"
"9999915","2019-10-19 12:05:00+00","9","10","7","27.9","46.8","1","267","Domicile","Ouverture De Fenêtre"
"9999915","2019-10-19 12:06:00+00","10","11","7","28","46.8","0","701","Domicile","Ouverture De Fenêtre"
"9999915","2019-10-19 12:07:00+00","9","10","7","28","47","0","193","Domicile","Ouverture De Fenêtre"
"9999915","2019-10-19 12:08:00+00","9","11","7","28","46.8","1","661","Domicile","Ouverture De Fenêtre"
"9999915","2019-10-19 12:09:00+00","10","10","7","28.1","46.4","0","277","Domicile","Ouverture De Fenêtre"
"9999915","2019-10-19 12:10:00+00","9","10","6","28.1","47","3","532","Domicile","Ouverture De Fenêtre"
"9999915","2019-10-19 12:11:00+00","7","8","6","28.2","47.1","2","492","Domicile","Ouverture De Fenêtre"
"9999915","2019-10-19 12:12:00+00","10","11","7","28.1","46.6","0","508","Domicile","Ouverture De Fenêtre"
"9999915","2019-10-19 12:13:00+00","8","8","6","28.1","46.2","4","665","Domicile","Ouverture De Fenêtre"
"9999915","2019-10-19 12:14:00+00","9","10","7","28.1","46.6","0","311","Domicile","Ouverture De Fenêtre"
"9999915","2019-10-19 12:15:00+00","11","11","8","28.1","46.4","4","721","Domicile","Ouverture De Fenêtre"
"9999915","2019-10-19 12:16:00+00","9","9","6","28","46.6","4","259","Domicile","Ouverture De Fenêtre"
"9999915","2019-10-19 12:17:00+00","12","13","8","28.1","46","0","649","Domicile","Ouverture De Fenêtre"
"9999915","2019-10-19 12:18:00+00","11","11","8","28.1","46","6","319","Domicile","Ouverture De Fenêtre"
"9999915","2019-10-19 12:19:00+00","8","8","6","28","46.1","4","438","Domicile","Ouverture De Fenêtre"
"9999915","2019-10-19 12:20:00+00","13","13","10","28.1","45.9","1","432","Domicile","Ouverture De Fenêtre"
"9999915","2019-10-19 12:21:00+00","13","14","10","28.3","47.1","22","674","Domicile","Ouverture De Fenêtre"
"9999915","2019-10-19 12:22:00+00","13","13","9","28.2","46.4","7","235","Domicile","Ouverture De Fenêtre"
"9999915","2019-10-19 12:23:00+00","11","11","8","28.2","46.2","1","450","Domicile","Ouverture De Fenêtre"
"9999915","2019-10-19 12:24:00+00","14","14","12","28.2","46.6","3","521","Domicile","Ouverture De Fenêtre"
"9999915","2019-10-19 12:25:00+00","16","19","13","28.2","46.8","4","541","Domicile","Ouverture De Fenêtre"
"9999915","2019-10-19 12:26:00+00","17","19","15","28.3","46.6","4","557","Domicile","Ouverture De Fenêtre"
"9999915","2019-10-19 12:27:00+00","29","31","21","28.3","46.3","1","568","Domicile","Ouverture De Fenêtre"
"9999915","2019-10-19 12:28:00+00","22","23","16","28.3","46.4","2","692","Domicile","Ouverture De Fenêtre"
"9999915","2019-10-19 12:29:00+00","22","23","16","28.3","46.2","2","793","Domicile","Ouverture De Fenêtre"
