"participant_virtual_id","time","event"
"9999966","2019-10-21 17:07:00+00","Marcher"
"9999966","2019-10-21 17:22:27+00","Marcher"
"9999966","2019-10-21 17:30:30+00","Marcher"
"9999966","2019-10-22 06:55:42+00","Marcher"
"9999966","2019-10-22 07:25:36+00","Marcher"
"9999966","2019-10-22 14:40:45+00","Marcher"
"9999966","2019-10-22 15:03:58+00","Marcher"
"9999966","2019-10-22 15:37:33+00","Marcher"
"9999966","2019-10-22 15:54:19+00","Marcher"
"9999966","2019-10-22 18:02:07+00","Marcher"
"9999966","2019-10-22 22:20:55+00","Ouverture De Fenêtre"
"9999966","2019-10-23 04:41:03+00","Fermeture De Fenêtre"
"9999966","2019-10-23 05:48:04+00","Marcher"
"9999966","2019-10-23 11:32:11+00","Marcher"
"9999966","2019-10-23 12:25:11+00","Marcher"
"9999966","2019-10-23 18:43:00+00","Ouverture De Fenêtre"
"9999966","2019-10-23 19:34:05+00","Fermeture De Fenêtre"
"9999966","2019-10-24 07:11:20+00","Marcher"
"9999966","2019-10-24 16:10:08+00","Marcher"
"9999966","2019-10-24 16:36:54+00","Marcher"
"9999966","2019-10-25 06:06:00+00","Ouverture De Fenêtre"
"9999966","2019-10-25 06:14:51+00","Fermeture De Fenêtre"
"9999966","2019-10-25 06:30:38+00","Marcher"
"9999966","2019-10-25 06:52:11+00","Marcher"
"9999966","2019-10-25 16:16:31+00","Marcher"
"9999966","2019-10-26 10:59:33+00","Ouverture De Fenêtre"
"9999966","2019-10-26 12:15:17+00","Marcher"
"9999966","2019-10-26 17:08:41+00","Ouverture De Fenêtre"
"9999966","2019-10-26 18:43:11+00","Ouverture De Fenêtre"
"9999966","2019-10-27 00:44:41+00","Fermeture De Fenêtre"
"9999966","2019-10-27 07:43:12+00","Ouverture De Fenêtre"
